city,pre,now,updown,rate,area,dense
三　重　県,12354,21059,-8705,6.8999999999999995,11.799999999999999,-0.49
市　　　計,10956,18045,-7089,7.0,11.5,-0.45
郡　　　計,1398,3014,-1616,6.3,13.600000000000001,-0.73
津市,1933,3246,-1313,7.0,11.7,-0.47
四日市市,2382,3186,-804,7.7,10.3,-0.26
伊勢市,844,1528,-684,6.800000000000001,12.3,-0.55
松阪市,1156,1942,-786,7.199999999999999,12.1,-0.49
桑名市,1006,1356,-350,7.199999999999999,9.7,-0.25
鈴鹿市,1490,1821,-331,7.6,9.3,-0.17
名張市,498,822,-324,6.5,10.700000000000001,-0.42
尾鷲市,69,307,-238,4.1,18.3,-1.42
亀山市,381,556,-175,7.6,11.100000000000001,-0.35
鳥羽市,76,290,-214,4.2,15.8,-1.17
熊野市,66,342,-276,4.0,20.8,-1.68
いなべ市,303,548,-245,6.7,12.1,-0.54
志摩市,214,858,-644,4.5,18.0,-1.35
伊賀市,538,1243,-705,6.1,14.1,-0.8
木曽岬町,29,76,-47,4.699999999999999,12.3,-0.76
東員町,173,227,-54,6.800000000000001,9.0,-0.21
菰野町,290,445,-155,7.1,11.0,-0.38
朝日町,104,84,20,9.5,7.7,0.18
川越町,148,125,23,10.0,8.4,0.15
多気町,74,194,-120,5.1,13.4,-0.83
明和町,185,278,-93,8.2,12.3,-0.41
大台町,53,185,-132,5.8,20.4,-1.45
玉城町,104,177,-73,6.800000000000001,11.6,-0.48
度会町,41,111,-70,5.1,13.799999999999999,-0.87
大紀町,19,184,-165,2.3000000000000003,22.400000000000002,-2.01
南伊勢町,34,309,-275,2.9,26.5,-2.35
紀北町,47,297,-250,3.1,19.5,-1.64
御浜町,34,150,-116,4.1,18.1,-1.4
紀宝町,63,172,-109,5.8999999999999995,16.1,-1.02
